10:00am,11:00am,Wanna get into infosec?,Lukasz Gogolkiewicz & Ricki Burke
1:00pm,1:30pm,Badge Workshop,ec0 & pete
2:30pm,3:00pm,How To Control Your BIOS,James Ye
