10:00am,10:30am,Smart alarms,rfc6919
1:00pm,1:30pm,Badge Workshop,ec0 & pete
2:30pm,3:00pm,This is Hacker Culture,Kevin Alcock
3:00pm,3:30pm,USB Protocols,Fergus Symon
